 ,PCC: ,1, File Name ,31.sav, P: ,154.009521484, Q: ,-107.225128174
 ,PCC: ,1, File Name ,32.sav, P: ,166.427978516, Q: ,-104.20186615
 ,PCC: ,1, File Name ,33.sav, P: ,177.80305481, Q: ,-100.700637817
 ,PCC: ,1, File Name ,34.sav, P: ,191.244277954, Q: ,-95.0683288574
 ,PCC: ,1, File Name ,35.sav, P: ,202.36138916, Q: ,-78.7375946045
 ,PCC: ,1, File Name ,36.sav, P: ,207.922195435, Q: ,-57.7159042358
 ,PCC: ,1, File Name ,37.sav, P: ,209.666229248, Q: ,-46.0627555847
 ,PCC: ,1, File Name ,38.sav, P: ,215.613723755, Q: ,-44.4744491577
 ,PCC: ,1, File Name ,39.sav, P: ,217.105224609, Q: ,-46.6493530273
 ,PCC: ,1.05, File Name ,0.sav, P: ,-0.635655283928, Q: ,50.1658096313
 ,PCC: ,1.05, File Name ,1.sav, P: ,18.4123306274, Q: ,49.2862358093
 ,PCC: ,1.05, File Name ,2.sav, P: ,30.6582508087, Q: ,48.3766098022
 ,PCC: ,1.05, File Name ,3.sav, P: ,43.3108825684, Q: ,47.4568862915
 ,PCC: ,1.05, File Name ,4.sav, P: ,55.4958114624, Q: ,45.9522438049
 ,PCC: ,1.05, File Name ,5.sav, P: ,68.1394271851, Q: ,44.4420928955
 ,PCC: ,1.05, File Name ,6.sav, P: ,80.71118927, Q: ,42.8704071045
 ,PCC: ,1.05, File Name ,7.sav, P: ,93.2885742188, Q: ,40.7613372803
 ,PCC: ,1.05, File Name ,8.sav, P: ,105.424972534, Q: ,38.3365402222
 ,PCC: ,1.05, File Name ,9.sav, P: ,129.418746948, Q: ,33.137046814
 ,PCC: ,1.05, File Name ,10.sav, P: ,141.89364624, Q: ,29.9264259338
 ,PCC: ,1.05, File Name ,11.sav, P: ,155.007095337, Q: ,24.3350086212
 ,PCC: ,1.05, File Name ,12.sav, P: ,167.429138184, Q: ,17.8895206451
 ,PCC: ,1.05, File Name ,13.sav, P: ,178.795471191, Q: ,10.5743770599
 ,PCC: ,1.05, File Name ,14.sav, P: ,192.201583862, Q: ,0.526199579239
 ,PCC: ,1.05, File Name ,15.sav, P: ,203.106658936, Q: ,-9.30912208557
 ,PCC: ,1.05, File Name ,16.sav, P: ,208.433395386, Q: ,-14.5331296921
 ,PCC: ,1.05, File Name ,17.sav, P: ,210.071258545, Q: ,-16.7686519623
 ,PCC: ,1.05, File Name ,18.sav, P: ,216.02394104, Q: ,-22.7395076752
 ,PCC: ,1.05, File Name ,19.sav, P: ,217.598648071, Q: ,-15.7805366516
 ,PCC: ,1.05, File Name ,20.sav, P: ,-2.38373541832, Q: ,-172.074310303
 ,PCC: ,1.05, File Name ,21.sav, P: ,16.6341114044, Q: ,-172.846084595
 ,PCC: ,1.05, File Name ,22.sav, P: ,28.8551063538, Q: ,-173.326034546
 ,PCC: ,1.05, File Name ,23.sav, P: ,41.485874176, Q: ,-173.746963501
 ,PCC: ,1.05, File Name ,24.sav, P: ,53.6532325745, Q: ,-173.815292358
 ,PCC: ,1.05, File Name ,25.sav, P: ,66.2657241821, Q: ,-174.576095581
 ,PCC: ,1.05, File Name ,26.sav, P: ,78.8114395142, Q: ,-175.141311646
 ,PCC: ,1.05, File Name ,27.sav, P: ,91.3644104004, Q: ,-175.556106567
 ,PCC: ,1.05, File Name ,28.sav, P: ,103.476348877, Q: ,-175.921386719
 ,PCC: ,1.05, File Name ,29.sav, P: ,127.430595398, Q: ,-176.420593262
 ,PCC: ,1.05, File Name ,30.sav, P: ,139.895263672, Q: ,-176.254501343
 ,PCC: ,1.05, File Name ,31.sav, P: ,153.152954102, Q: ,-169.214691162
 ,PCC: ,1.05, File Name ,32.sav, P: ,165.788604736, Q: ,-158.682769775
 ,PCC: ,1.05, File Name ,33.sav, P: ,177.382873535, Q: ,-147.030227661
 ,PCC: ,1.05, File Name ,34.sav, P: ,191.200012207, Q: ,-124.437484741
 ,PCC: ,1.05, File Name ,35.sav, P: ,202.582595825, Q: ,-91.8297576904
 ,PCC: ,1.05, File Name ,36.sav, P: ,208.107757568, Q: ,-75.4265518188
 ,PCC: ,1.05, File Name ,37.sav, P: ,209.814163208, Q: ,-70.1828918457
 ,PCC: ,1.05, File Name ,38.sav, P: ,215.809204102, Q: ,-65.7255020142
 ,PCC: ,1.05, File Name ,39.sav, P: ,217.478424072, Q: ,-42.9792366028
